"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBM71.hmm",2907.01919696562,6.58214801678426,0.546459955681062,12.0450692651044,2.05903386128637e-33,4.65341652650719e-31
"CBM47.hmm",8952.21269049176,16.7887870481843,1.60990363576694,10.4284422217522,1.83878064228033e-25,2.07782212577677e-23
"CBM79.hmm",5921.19620211519,-15.7012667639305,1.52042436391764,-10.3268976323646,5.32551841204224e-25,4.01189053707182e-23
"CBM25.hmm",574.199126937339,12.8229590192673,1.26667454841989,10.1233257076676,4.35365807028725e-24,2.4598168097123e-22
"GH44.hmm",3316.03304918235,-14.8648722771106,1.48433660373782,-10.0144887889163,1.31640699997928e-23,5.68889401044203e-22
"CBM39.hmm",689.231731445331,13.0906371834742,1.30894714356269,10.0008905996342,1.51032584348018e-23,5.68889401044203e-22
"GH48.hmm",34602.9751640257,-18.2481502733141,1.82923574829287,-9.9758329621232,1.94462841042782e-23,6.27837172509552e-22
"GH11.hmm",4715.7601292499,28.2681942813162,2.91330764329115,9.70312707839594,2.92396898009476e-22,8.2602123687677e-21
"AA1.hmm",7998.15953694119,-16.1349919896749,1.83738386481159,-8.78150303737937,1.61304387944713e-18,4.05053240838946e-17
"GT94.hmm",593.759869614974,2.04528360258002,0.251837772885365,8.1214330127952,4.60711094289591e-16,1.04120707309448e-14
"GT82.hmm",113.456829664398,10.4864762321585,1.40263380316408,7.47627513931504,7.64587934689091e-14,1.57088066581577e-12
"GT1.hmm",866.755166745949,1.48566685190666,0.218415242958893,6.80202916142749,1.03155710199915e-11,1.94276587543173e-10
"GT77.hmm",154.483571737141,-10.4399622665162,1.54675725914136,-6.74958026207138,1.48273469758869e-11,2.57767724350035e-10
"CBM28.hmm",85901.6757660866,20.0509826029834,3.13176365844875,6.40245714228486,1.52896055268619e-10,2.4681791779077e-09
"GT99.hmm",2406.72817521267,-5.12759533262332,0.91588087264713,-5.59853959806285,2.16165031116081e-08,3.25688646881562e-07
"PL5.hmm",753.384763220502,1.98077303261009,0.360756740092766,5.49060575306436,4.00557566003372e-08,5.65787561979763e-07
"GT64.hmm",4960.68443041761,-7.8636219544611,1.52171068435181,-5.16761959768371,2.3709425015752e-07,3.15195885503526e-06
"GT40.hmm",384.486306180734,3.5271844744657,0.689337147723602,5.11677701704242,3.10800687225118e-07,3.90227529515981e-06
"AA13.hmm",59.1655929397355,-9.05585029552316,1.80669047099131,-5.01239722073385,5.37560898221983e-07,6.39414542095622e-06
"GH93.hmm",144.541084656274,2.60184973100267,0.531954297228101,4.89111516639746,1.00266273362163e-06,1.13300888899244e-05
"GT66.hmm",49482.4675626032,-7.58517788281895,1.57008794296852,-4.83105288260341,1.35812922268881e-06,1.46160573489367e-05
"CBM76.hmm",81.1692464952579,-9.51127407230806,2.01075511903672,-4.73020010356335,2.24298641803676e-06,2.30415877489231e-05
"GH127.hmm",1297.81669799248,1.0030116725913,0.220779623910127,4.5430445746189,5.54475210739201e-06,5.4483216359591e-05
"CBM77.hmm",12575.1308813142,-3.02523471601402,0.676173747571473,-4.47404935030289,7.67520152747651e-06,7.22748143837372e-05
"GH105.hmm",1809.62627143811,0.948451639583439,0.213322957376547,4.44608330602356,8.74500474102802e-06,7.61583617075925e-05
"GH50.hmm",557.595983279572,3.03573418957215,0.683169370579881,4.44360406116479,8.84643387271822e-06,7.61583617075925e-05
"CBM67.hmm",1074.52285584935,-1.90239270715554,0.428702713728461,-4.43755695085361,9.09856533674778e-06,7.61583617075925e-05
"PL11.hmm",2026.28935787534,1.98333746090725,0.467955756883599,4.23830123197008,2.2521745437558e-05,0.000181782659603147
"GH102.hmm",98.5344236601653,2.81296977880289,0.68843968758328,4.08600757559116,4.3885945867273e-05,0.000342007716069093
"GT87.hmm",548.317312776546,2.63408920427344,0.672992998926998,3.91399198576087,9.07826498053247e-05,0.000683895961866779
"CBM20.hmm",2725.55656080015,2.25393950645069,0.583801197111972,3.86079973388337,0.000113016507909414,0.00082392679959766
"GH88.hmm",673.404256081496,0.654509238622272,0.185052572487078,3.53688268055812,0.000404879473633687,0.00285946128253792
"GH9.hmm",3390.11728320997,-2.98384608216679,0.849793700515221,-3.51125935666235,0.000445989047524278,0.00305434923456021
"CBM68.hmm",114.121831362454,10.4959629525939,3.26972961064822,3.21004003462937,0.00132716486367423,0.00882174291736401
"GT20.hmm",376.072114476301,12.2151806615476,3.90696916571985,3.12651063866203,0.00176894104088634,0.0114223050068661
"GH46.hmm",68.4200604479991,9.75641778904755,3.15375143580611,3.09359123178767,0.00197749742102804,0.0124142893653427
"GH30.hmm",2001.6288224127,1.00293637520299,0.327984995684454,3.05787273320237,0.00222914225235458,0.0136158418657334
"GH59.hmm",11278.8468028461,3.44500927913091,1.16610917302944,2.95427680255794,0.00313402763408119,0.0186392169816408
"CBM72.hmm",1160.10740923014,-1.59958305947783,0.555700565465001,-2.87849816769454,0.00399573602015135,0.0231547779629283
"CE11.hmm",962.155963501166,0.52843371392025,0.184594501292925,2.86267310358125,0.00420083722669104,0.0237347303308044
"AA4.hmm",6887.50571504438,-1.74449445187687,0.627276009521101,-2.78106355957837,0.00541811281620245,0.0298656950356525
"GH42.hmm",5443.86712886995,-1.51645492436245,0.547199799350155,-2.77130022007203,0.00558329221146385,0.0300434295188293
"GT17.hmm",1861.81413174506,-2.00588189549657,0.744605121355477,-2.6938867837023,0.00706241497057466,0.0371187391476714
"GT89.hmm",5827.5365102575,4.39412052659028,1.63651220123593,2.68505210243574,0.00725185003235863,0.0372481388025693
"GH19.hmm",571.486157398556,-2.10952393821784,0.791627542645132,-2.66479351030297,0.00770356084273287,0.0380142896448501
"CBM2.hmm",9338.41779740718,-3.16500255076421,1.19004958489426,-2.6595551907574,0.00782439095149456,0.0380142896448501
"CBM40.hmm",5498.49966570994,1.48841840290885,0.560382883515439,2.65607399278791,0.00790562660755733,0.0380142896448501
"GH125.hmm",954.025334754271,-1.30782540690876,0.497840681879875,-2.62699585331262,0.00861423837804851,0.0405587056966451
"AA8.hmm",1109.78995853795,-1.0949809912218,0.419080364123898,-2.61281864997635,0.00897989375837357,0.041417469171274
"GT81.hmm",1471.23128183501,1.10654267405515,0.429375869539357,2.5770956231012,0.00996343836036217,0.045034741388837
"GH73.hmm",1509.3832732101,1.27323272397436,0.497795579390166,2.55774212686694,0.010535418595407,0.0466863647561174
"GH33.hmm",1405.48168074668,0.67682946734389,0.270719797407987,2.5001107189951,0.0124154497570629,0.0539594547133887
"GH32.hmm",1047.05608159285,-1.22935233826756,0.494373147720489,-2.48668914146327,0.0128938009390254,0.0547549409552982
"GH37.hmm",862.936587576099,-2.43504368749091,0.981991045026857,-2.47970050218158,0.0131492778529646,0.0547549409552982
"CE13.hmm",324.112542807017,1.90456002701792,0.769533369739928,2.47495443590911,0.0133253174891212,0.0547549409552982
"CBM56.hmm",4182.80418118777,0.740325229859166,0.301558450125312,2.4549974625202,0.014088558284438,0.0568573959336246
"CBM16.hmm",800.465665993189,-1.1595759748113,0.477359791396471,-2.4291446320166,0.0151344935369073,0.0600069392866849
"CE15.hmm",841.881392793662,2.20323224559888,0.92888265729792,2.37191665522962,0.0176960819522946,0.0689536986416998
"GH124.hmm",2249.54456822969,-1.58351640346785,0.670208378569883,-2.36272248169564,0.0181412487977148,0.069490207259043
"GT32.hmm",737.356692870224,-1.28504681246003,0.552405296667634,-2.32627532757565,0.0200038673637447,0.0753479004034385
"GH15.hmm",206.148196402324,3.48558331866581,1.54273011690413,2.25936039004702,0.0238609762047558,0.0874926330541234
"GT3.hmm",1685.72270358588,-0.942785503100298,0.417699419657626,-2.25709076606586,0.0240024037582108,0.0874926330541234
"GT19.hmm",697.099090231973,-0.857798723485835,0.381925776754923,-2.24598279480956,0.0247051099660649,0.0886246801957248
"GT90.hmm",408.142496080913,-1.42693725751601,0.637562058614037,-2.23811507952332,0.0252135515386777,0.0890353538709557
"CBM54.hmm",11402.2153458738,1.86842801709622,0.841355453174572,2.22073561185862,0.0263688739139887,0.0916825462240224
"GT60.hmm",43.9856741085128,-4.6541826335835,2.1736379245038,-2.14119498979848,0.0322583169149476,0.110460297314821
"CBM41.hmm",4970.32324547473,3.07234606619084,1.48254992657715,2.07233902286458,0.0382338356379218,0.128967863495079
"PL22.hmm",895.433088931503,1.08442386426896,0.533446323469839,2.03286407002535,0.0420662579317216,0.138916560611216
"CBM50.hmm",1618.41222928759,0.512894668776952,0.252726068991712,2.02944900311718,0.0424125782397076,0.138916560611216
"GH16.hmm",909.801668514393,0.720982330695037,0.359051754017395,2.00801784875867,0.0446413950128171,0.144127932469952
"CE4.hmm",2422.99549992262,-0.389452179212734,0.196174854198736,-1.98522986446671,0.0471189030816073,0.149984114034412
"AA5.hmm",12481.9574655265,-1.65243763215644,0.837436989248975,-1.97320831700826,0.0484718332973948,0.152147698961267
"GH74.hmm",1472.44152823772,-1.04607552003387,0.534159062208378,-1.95835958620465,0.0501878334371499,0.155376032284875
"PL13.hmm",174.18659904923,-2.05375427025848,1.06955111348461,-1.92020207764295,0.0548323793007853,0.165337254489779
"GT56.hmm",1229.17299728125,-1.71704296481185,0.894332512432855,-1.91991562527563,0.0548685579059002,0.165337254489779
"GT74.hmm",4941.21295210647,-1.80068557254068,0.944043343753102,-1.90741832401672,0.0564664383809477,0.167913356238081
"PL10.hmm",2672.41536849356,-1.27933396335108,0.678212905044606,-1.88633090558332,0.0592503770497132,0.173600455052236
"GH101.hmm",2897.18829349012,1.34428110389468,0.714504560117835,1.88141710904264,0.0599152013012142,0.173600455052236
"GT92.hmm",786.636538664863,-1.24739168550724,0.665686651307863,-1.87384211934626,0.0609521891303192,0.174369553714584
"GH97.hmm",843.193350095467,-1.350861922708,0.726270958852277,-1.85999716255042,0.0628859274071647,0.17765274492524
"GT80.hmm",318.960000565353,2.88502322526342,1.56949437874932,1.83818640214717,0.0660349428008823,0.184245642876536
"GH78.hmm",885.305924847905,-0.442455855017465,0.244103735818477,-1.81257305847416,0.0698976962688954,0.189537578330641
"dockerin.hmm",2188.99675058367,-1.000035722653,0.552020916082947,-1.81159027405899,0.0700495288600018,0.189537578330641
"CE14.hmm",3657.92903379928,-1.26338308031309,0.698379082654196,-1.80902193621205,0.0704475954857249,0.189537578330641
"PL24.hmm",309.220928772141,-0.700136710205689,0.391222704771335,-1.78961165000613,0.0735163643300553,0.194010539474287
"PL1.hmm",4929.10089275217,0.612903203726604,0.342847637145786,1.78768390772366,0.0738270194459676,0.194010539474287
"CBM70.hmm",397.893954014001,-1.2907242682238,0.757564260166589,-1.70378189163777,0.0884218422387466,0.226961262174962
"CBM38.hmm",279.175904851066,1.817174628496,1.07518056152771,1.69011112506908,0.0910066969031587,0.226961262174962
"GH24.hmm",1175.8848220317,-0.705137644212564,0.417359936611985,-1.68951924311826,0.0911199673397744,0.226961262174962
"GH47.hmm",21309.5490184654,2.29429876070208,1.36152827257842,1.68509079606346,0.0919710551360739,0.226961262174962
"SLH.hmm",3429.52519483064,-0.414317161590817,0.246103067372049,-1.68351075837859,0.0922762584816523,0.226961262174962
"CBM22.hmm",8581.40119202919,2.0333598160195,1.20937954217063,1.68132479930161,0.0926998434673618,0.226961262174962
"GH121.hmm",4997.9230172711,2.30751948328142,1.37536403870944,1.67775179395171,0.0933955636383693,0.226961262174962
"GH36.hmm",2125.44480606069,-0.840437423199729,0.504855457773408,-1.66470899791072,0.0959708269657001,0.230738371215407
"GH95.hmm",1332.36511942365,-0.445556463281907,0.268927912641055,-1.65678772019698,0.0975624005587815,0.232095816066154
"GH38.hmm",837.987277555869,-0.701828550845572,0.430708831457036,-1.62947332301353,0.103212857771806,0.242490363327524
"GT54.hmm",15408.6907060367,1.65443589740249,1.01786492483871,1.62539827930965,0.104077722313141,0.242490363327524
"GT13.hmm",1875.06993127903,1.08878575074957,0.677826539357675,1.60628964422274,0.108210284642078,0.249146128335453
"CBM12.hmm",538.502302558566,-1.96387226854809,1.23277311728582,-1.59305247738685,0.111148419035876,0.249146128335453
"GH18.hmm",1448.77767299625,-0.461086486802063,0.289603692771549,-1.59212916931203,0.111355684185773,0.249146128335453
"GH91.hmm",2260.09387896883,-1.06793065647226,0.672434311099152,-1.58815610513187,0.112251044084672,0.249146128335453
"CBM27.hmm",8706.28714802315,-1.37806498084421,0.868186076482211,-1.58729219250782,0.112446482700071,0.249146128335453
"GT21.hmm",2355.17020500898,1.39946070583268,0.884976016746751,1.58135438627729,0.11379703074165,0.249690572306921
"AA6.hmm",1106.44222466531,0.375829117598018,0.241285750954608,1.55761007896699,0.119325707984821,0.259303942351631
"GH39.hmm",2147.64014735014,-0.504132152347462,0.328907081785398,-1.53274946106631,0.125337597286708,0.269774257017106
"CE3.hmm",2027.92850876951,-0.683182773258812,0.447834515303556,-1.52552505426191,0.127128189317557,0.271046894205358
"GH5.hmm",2851.51469952202,-1.11201749232769,0.735445141475419,-1.51203322942186,0.130525409322758,0.275689182307882
"GT9.hmm",1370.66387082581,-0.519827488618426,0.346547476585817,-1.50001810355038,0.133609713144752,0.27959069602513
"GH133.hmm",1535.00472379625,-0.373184414120718,0.253636765461037,-1.47133406879077,0.141200794122656,0.290269824437046
"GH55.hmm",823.469529599427,-1.17583821941275,0.799327397095318,-1.47103455190656,0.141281772956084,0.290269824437046
"CBM62.hmm",142.834332911124,0.821888526432672,0.566168483897519,1.45166774521741,0.146594011983216,0.298470691064926
"CBM48.hmm",8172.79302625896,-0.798114159399833,0.555819803660325,-1.43592249528335,0.151024396611444,0.304745657448092
"CBM35.hmm",1848.05714072567,1.05903450599057,0.741941606411777,1.42738255522875,0.153469656347482,0.306939312694964
"GH20.hmm",794.134318837038,-0.625324264343947,0.447779209842681,-1.39650133502992,0.162563578862362,0.322275165113104
"GH29.hmm",1122.33040133139,0.528291252546656,0.379840401955113,1.39082427732131,0.164278719348797,0.322843396285461
"GH63.hmm",1184.59571396845,0.357980052667913,0.263371755496432,1.35921960193929,0.174077011607229,0.339150039855463
"GH84.hmm",4109.66956600843,-1.48877940415947,1.10020176220197,-1.35318762004143,0.175995699248558,0.339957504531403
"GT76.hmm",682.979757668209,1.28302613614248,0.957858289438771,1.33947385567256,0.180416460075276,0.345543389635698
"AA3.hmm",1717.40672151091,-0.633776994375514,0.490847622428118,-1.29118888513782,0.196638188309396,0.371619843933262
"GT23.hmm",706.281456840418,-1.06615850547646,0.830906654046832,-1.28312669092715,0.199447694105149,0.371619843933262
"CBM32.hmm",3324.02413545709,0.34279594354591,0.268271545295892,1.27779464336339,0.20132184362605,0.371619843933262
"GH117.hmm",870.797500268118,-0.773717233151895,0.606674976452038,-1.27534060771182,0.202188710578107,0.371619843933262
"GH4.hmm",8711.80426015917,-0.562949501190866,0.444739176661878,-1.26579696759852,0.205585781044385,0.371619843933262
